key;L;M;S
3485.09375;0.169805275;135.634186;0.047670085
3515.53125;0.185934346;136.0540223;0.047826946
3545.96875;0.203010488;136.4765925;0.04799081
3576.40625;0.2212252;136.9027281;0.048161228
3606.84375;0.240780542;137.3332846;0.04833757
3637.28125;0.261885086;137.7691339;0.048519011
3667.71875;0.284748919;138.2111552;0.048704503
3698.15625;0.309577733;138.6602228;0.048892759
3728.59375;0.336566048;139.1171933;0.049082239
3759.03125;0.365889711;139.5828898;0.049271137
3789.46875;0.397699038;140.0580848;0.049457371
3819.90625;0.432104409;140.5434787;0.049638596
3850.34375;0.46917993;141.0396832;0.049812203
3880.78125;0.508943272;141.5471945;0.049975355
3911.21875;0.551354277;142.0663731;0.050125012
3941.65625;0.596307363;142.59742;0.050257992
3972.09375;0.643626542;143.1403553;0.050371024
4002.53125;0.693062173;143.6949981;0.050460835
4032.96875;0.744289752;144.2609497;0.050524236
4063.40625;0.79691098;144.8375809;0.050558224
4093.84375;0.85045728;145.4240246;0.050560083
4124.28125;0.904395871;146.0191748;0.050527494
4154.71875;0.958138449;146.621692;0.050458634
4185.15625;1.011054559;147.2300177;0.050352269
4215.59375;1.062474568;147.8423918;0.050207825
4246.03125;1.111727029;148.4568879;0.050025434
4276.46875;1.158135105;149.0714413;0.049805967
4306.90625;1.201050821;149.6838943;0.049551023
4337.34375;1.239852328;150.2920328;0.049262895
4367.78125;1.274006058;150.8936469;0.048944504
4398.21875;1.303044695;151.4865636;0.048599314
4428.65625;1.326605954;152.0686985;0.048231224
4459.09375;1.344443447;152.6380955;0.047844442
4489.53125;1.356437773;153.1929631;0.047443362
4519.96875;1.362602695;153.7317031;0.04703243
4550.40625;1.363085725;154.2529332;0.046616026
4580.84375;1.358162799;154.755501;0.046198356
4611.28125;1.348227142;155.2384904;0.04578335
4641.71875;1.333772923;155.7012216;0.045374597
4672.15625;1.315374704;156.1432438;0.044975281
4702.59375;1.293664024;156.564323;0.044588148
4733.03125;1.269304678;156.9644258;0.044215488
4763.46875;1.242968236;157.3436995;0.043859135
4793.90625;1.21531127;157.7024507;0.04352048
4824.34375;1.186955477;158.0411233;0.043200497
4854.78125;1.158471522;158.3602756;0.042899776
4885.21875;1.130367088;158.6605588;0.042618565
4915.65625;1.103079209;158.9426964;0.042356812
4946.09375;1.076970655;159.2074654;0.042114211
4976.53125;1.052329922;159.455679;0.041890247
5006.96875;1.029374161;159.688172;0.04168424
5037.40625;1.008254396;159.9057871;0.041495379
5067.84375;0.989062282;160.1093647;0.041322765
5098.28125;0.971837799;160.299733;0.041165437
5128.71875;0.95657215;160.4776996;0.041022401
5159.15625;0.94324228;160.6440526;0.040892651
5189.59375;0.931767062;160.7995428;0.040775193
5220.03125;0.922058291;160.9448916;0.040669052
5250.46875;0.914012643;161.0807857;0.040573288
5280.90625;0.907516917;161.2078755;0.040487005
5311.34375;0.902452436;161.3267744;0.040409354
5341.78125;0.898698641;161.4380593;0.040339537
5372.21875;0.896143482;161.5422726;0.040276811
5402.65625;0.894659668;161.639917;0.040220488
5433.09375;0.89413892;161.7314645;0.040169932
5463.53125;0.894475371;161.8173534;0.040124562
5493.96875;0.895569834;161.8979913;0.040083845
5524.40625;0.897330209;161.9737558;0.040047295
5554.84375;0.899671635;162.0449969;0.040014473
5585.28125;0.902516442;162.1120386;0.03998498
5615.71875;0.905793969;162.17518;0.039958458
5646.15625;0.909440266;162.2346979;0.039934584
5676.59375;0.913397733;162.2908474;0.039913066
5707.03125;0.91761471;162.343864;0.039893644
5737.46875;0.922045055;162.3939652;0.039876087
5767.90625;0.926647697;162.4413513;0.039860185
5798.34375;0.931386217;162.4862071;0.039845754
5828.78125;0.93622842;162.5287029;0.039832629
5859.21875;0.941145943;162.5689958;0.039820663
5889.65625;0.94611388;162.6072309;0.039809725
5920.09375;0.95111043;162.6435418;0.0397997
5950.53125;0.956116576;162.6780519;0.039790485
5980.96875;0.961115792;162.7108751;0.039781991
6011.40625;0.966093766;162.7421168;0.039774136
6041.84375;0.971038162;162.7718741;0.03976685
6072.28125;0.975938391;162.8002371;0.03976007
6102.71875;0.980785418;162.8272889;0.039753741
6133.15625;0.985571579;162.8531067;0.039747815
6163.59375;0.99029042;162.8777619;0.039742249
6194.03125;0.994936555;162.9013208;0.039737004
6224.46875;0.999505539;162.9238449;0.039732048
6254.90625;1.003993753;162.9453912;0.039727352
6285.34375;1.0083983;162.9660131;0.03972289
6315.78125;1.012716921;162.9857599;0.03971864
6346.21875;1.016947912;163.0046776;0.039714581
6376.65625;1.021090055;163.0228094;0.039710697
6407.09375;1.025142554;163.0401953;0.039706971
6437.53125;1.029104983;163.0568727;0.039703391
6467.96875;1.032977233;163.0728768;0.039699945
6498.40625;1.036759475;163.0882404;0.039696623
6528.84375;1.040452117;163.1029943;0.039693415
6559.28125;1.044055774;163.1171673;0.039690313
6589.71875;1.047571238;163.1307866;0.039687311
6620.15625;1.050999451;163.1438776;0.039684402
6650.59375;1.054341482;163.1564644;0.039681581
6681.03125;1.057598512;163.1685697;0.039678842
6711.46875;1.060771808;163.1802146;0.039676182
6741.90625;1.063862715;163.1914194;0.039673596
6772.34375;1.066872639;163.202203;0.039671082
6802.78125;1.069803036;163.2125835;0.039668635
6833.21875;1.072655401;163.2225779;0.039666254
6863.65625;1.075431258;163.2322024;0.039663936
6894.09375;1.078132156;163.2414722;0.039661679
6924.53125;1.080759655;163.2504019;0.039659481
6954.96875;1.083315329;163.2590052;0.039657339
6985.40625;1.085800751;163.2672954;0.039655252
7015.84375;1.088217496;163.2752848;0.039653218
7046.28125;1.090567133;163.2829854;0.039651237
7076.71875;1.092851222;163.2904086;0.039649306
7107.15625;1.095071313;163.297565;0.039647424
7137.59375;1.097228939;163.304465;0.039645591
7168.03125;1.099325619;163.3111185;0.039643804
7198.46875;1.101362852;163.3175349;0.039642063
7228.90625;1.103342119;163.3237231;0.039640367
7259.34375;1.105264876;163.3296918;0.039638715
7289.78125;1.107132561;163.3354491;0.039637105
7305.0;1.108046193;163.338251;0.039636316
