key;L;M;S
4124.28125;-2.022817914;17.62569869;0.145206138
4154.71875;-2.016107084;17.67819987;0.145619819
4185.15625;-2.009769905;17.7308234;0.146017491
4215.59375;-2.003802134;17.78355575;0.146399239
4246.03125;-1.998199572;17.83638347;0.146765161
4276.46875;-1.992958064;17.88929321;0.147115364
4306.90625;-1.988073505;17.94227168;0.147449967
4337.34375;-1.983541835;17.9953057;0.147769097
4367.78125;-1.979359041;18.04838216;0.148072891
4398.21875;-1.975521156;18.10148804;0.148361495
4428.65625;-1.972024258;18.15461039;0.148635067
4459.09375;-1.968864465;18.20773639;0.148893769
4489.53125;-1.966037938;18.26085325;0.149137776
4519.96875;-1.963540872;18.31394832;0.14936727
4550.40625;-1.961369499;18.36700902;0.149582439
4580.84375;-1.959520079;18.42002284;0.149783482
4611.28125;-1.9579889;18.47297739;0.149970604
4641.71875;-1.956772271;18.52586035;0.15014402
4672.15625;-1.95586652;18.57865951;0.15030395
4702.59375;-1.955267984;18.63136275;0.150450621
4733.03125;-1.954973011;18.68395801;0.15058427
4763.46875;-1.954977947;18.73643338;0.150705138
4793.90625;-1.955279136;18.788777;0.150813475
4824.34375;-1.955872909;18.84097713;0.150909535
4854.78125;-1.956755579;18.89302212;0.150993582
4885.21875;-1.957923436;18.94490041;0.151065883
4915.65625;-1.959372737;18.99660055;0.151126714
4946.09375;-1.9610997;19.04811118;0.151176355
4976.53125;-1.963100496;19.09942105;0.151215094
5006.96875;-1.96537124;19.15051899;0.151243223
5037.40625;-1.967907983;19.20139397;0.151261042
5067.84375;-1.970706706;19.25203503;0.151268855
5098.28125;-1.973763307;19.30243131;0.151266974
5128.71875;-1.977073595;19.35257209;0.151255713
5159.15625;-1.980633277;19.40244671;0.151235395
5189.59375;-1.984437954;19.45204465;0.151206347
5220.03125;-1.988483106;19.50135548;0.151168902
5250.46875;-1.992764085;19.55036888;0.151123398
5280.90625;-1.997276103;19.59907464;0.15107018
5311.34375;-2.002014224;19.64746266;0.151009595
5341.78125;-2.00697335;19.69552294;0.150942
5372.21875;-2.012148213;19.7432456;0.150867753
5402.65625;-2.017533363;19.79062086;0.150787221
5433.09375;-2.023123159;19.83763907;0.150700774
5463.53125;-2.028911755;19.88429066;0.150608788
5493.96875;-2.034893091;19.9305662;0.150511645
5524.40625;-2.041060881;19.97645636;0.150409731
5554.84375;-2.047408604;20.02195192;0.15030344
5585.28125;-2.05392949;20.06704377;0.150193169
5615.71875;-2.060616513;20.11172291;0.150079322
5646.15625;-2.067462375;20.15598047;0.149962308
5676.59375;-2.074459502;20.19980767;0.14984254
5707.03125;-2.081600029;20.24319586;0.149720441
5737.46875;-2.088875793;20.28613648;0.149596434
5767.90625;-2.096278323;20.32862109;0.149470953
5798.34375;-2.103798828;20.37064138;0.149344433
5828.78125;-2.111428194;20.41218911;0.149217319
